run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,depth,candidate,temperature_at_event,current_penalty,local_best,global_best,cands_since_improve,worker_lifetime_pct,candidate_pct,time_since_previous_improvement,time_until_worker_exit
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,11,9,0,494343,25.118864,1060,385,385,100000,98.87,98.87,769,43
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,3,1,0,153284,25.118864,1025,505,385,100000,30.66,30.66,769,2669
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,3,1,0,253284,25.118864,645,505,385,100000,50.66,50.66,769,1899
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,3,1,0,353284,25.118864,755,505,385,100000,70.66,70.66,769,1129
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,3,1,0,453284,25.118864,675,505,385,100000,90.66,90.66,769,359
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,6,4,0,178019,25.118864,660,400,385,100000,35.60,35.60,769,2478
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,6,4,0,278019,25.118864,930,400,385,100000,55.60,55.60,769,1708
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,6,4,0,378019,25.118864,810,400,385,100000,75.60,75.60,769,939
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,6,4,0,478019,25.118864,840,400,385,100000,95.60,95.60,769,169
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,26,24,0,170583,25.118864,750,400,385,100000,34.12,34.12,769,2535
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,26,24,0,270583,25.118864,630,400,385,100000,54.12,54.12,769,1766
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,26,24,0,370583,25.118864,765,400,385,100000,74.12,74.12,769,996
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,26,24,0,470583,25.118864,940,400,385,100000,94.12,94.12,769,226
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,5,3,0,171454,25.118864,920,410,385,100000,34.29,34.29,769,2529
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,5,3,0,271454,25.118864,665,410,385,100000,54.29,54.29,769,1759
