run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,5,2,221535,560,0.000000,400,425,400,25,5.8824,GLOBAL_BEST,2,101,0,330370,201952,91,20688,81,12.0843,308.6420,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,228017,452,0.000000,780,795,780,15,1.8868,LOCAL_BEST,1,101,0,365666,146020,92,6482,-108,23.1410,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,239547,536,0.000000,430,445,430,15,3.3708,LOCAL_BEST,2,101,0,362184,204489,93,11530,84,13.0095,178.5714,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,242125,475,0.000000,770,780,770,10,1.2821,LOCAL_BEST,1,101,0,387841,155847,94,2578,-61,38.7898,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,267758,579,0.000000,415,430,415,15,3.4884,LOCAL_BEST,2,101,0,404353,228816,95,25633,104,5.8518,144.2308,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,277497,530,0.000000,765,770,765,5,0.6494,LOCAL_BEST,1,101,0,442738,181508,96,9739,-49,5.1340,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,277498,530,0.000000,735,765,735,30,3.9216,LOCAL_BEST,1,101,0,442738,181508,97,1,0,300000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,278045,573,0.000000,580,590,580,10,1.6949,LOCAL_BEST,1,101,0,430739,218855,98,547,43,182.8154,232.5581,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,279922,576,0.000000,575,580,575,5,0.8621,LOCAL_BEST,1,101,0,433576,220382,99,1877,3,26.6383,1666.6667,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,308316,618,0.000000,565,575,565,10,1.7391,LOCAL_BEST,1,101,0,477411,243972,100,28394,42,3.5219,238.0952,0,0,0,0,0,0
